sku,description,category,supplier,unit_cost,on_hand,on_order,lead_time_days,moq,demand_sep,demand_oct,demand_nov,demand_dec,demand_jan,demand_feb,demand_mar,demand_apr,demand_may,demand_jun,demand_jul,demand_aug
BE-1001,Carbonated Cola 1.5L,Beverages,Tapal Tea,788.24,2467,0,15,305,1178,998,1062,1246,935,1059,944,878,1221,1281,1387,991
PE-1002,Shampoo 400ml,Personal Care,Unilever Pakistan,29.34,562,0,16,212,261,259,221,266,288,279,316,249,326,253,324,293
HO-1003,Floor Cleaner 1L,Home Care,Colgate-Palmolive,290.52,2826,0,19,268,1066,790,1073,1229,1188,1213,1148,950,792,790,1170,923
PH-1004,Antacid Suspension 200ml,Pharma,Searle Pakistan,963.25,720,0,20,195,377,332,313,408,390,308,354,337,425,310,404,407
HO-1005,Bleach 500ml,Home Care,Unilever Pakistan,569.09,3639,0,17,929,1318,1220,1628,1449,1476,1219,1558,1582,1138,1451,1232,1174
PE-1006,Shaving Cream 70g,Personal Care,Colgate-Palmolive,48.60,3096,0,22,651,1726,1293,1327,1693,1336,1489,1320,1620,1488,1445,1342,1539
HO-1007,Dishwash Liquid 500ml,Home Care,Unilever Pakistan,66.12,1270,0,15,220,446,539,558,573,511,516,414,431,487,544,406,556
PA-1008,Carton Label Roll 1000s,Packaging,Roshan Packages,33.81,620,0,18,232,272,247,254,260,312,371,298,268,302,361,333,367
PH-1009,Multivitamin Tabs 30s,Pharma,Searle Pakistan,1753.78,148,0,26,100,65,81,64,72,100,68,86,71,93,74,99,95
PE-1010,Bath Soap 100g x3,Personal Care,Unilever Pakistan,82.02,751,0,15,218,375,415,438,381,390,407,432,398,411,431,389,407
FM-1011,Tea Whitener 1L,FMCG Food,National Foods,82.02,3008,0,8,620,1316,1217,1293,1114,1313,1111,1103,1255,1049,1063,1005,1082
HO-1012,Detergent Powder 1kg,Home Care,Colgate-Palmolive,115.74,948,0,15,130,398,481,472,423,394,427,434,457,395,437,334,442
PH-1013,Amoxicillin 250mg Caps,Pharma,Searle Pakistan,45.48,838,0,23,120,442,354,405,398,388,428,413,421,433,370,320,417
